,2018rank,city,state,2018estimate,2010census,change(%),2016 land area(sq mi),2016 land area(sq km),2016 population density (/sq mi),2016 population density (/sq km),location,wiki_city_url,Annual high temperature(F),Annual low temperature(F),Average temperature(F),Average annual precipitation - rainfall(in)
49,50,New Orleans,Louisiana,391006,343829,13.72,169.4,438.7,2311.0,892.0,30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W,https://en.wikipedia.org/wiki/New_Orleans,77.1,62.3,69.7,63.5
50,51,Wichita,Kansas,389255,382368,1.8,160.4,415.4,2431.0,939.0,37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W,https://en.wikipedia.org/wiki/Wichita,67.6,45.7,56.65,34.33
51,52,Cleveland,Ohio,383793,396815,-3.28,77.7,201.2,4965.0,1917.0,41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W,https://en.wikipedia.org/wiki/Cleveland,59.6,43.1,51.35,39.12
52,53,Bakersfield,California,383579,347483,10.39,148.8,385.4,2529.0,976.0,35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W,https://en.wikipedia.org/wiki/Bakersfield,76.8,53.4,65.1,6.45
53,54,Aurora,Colorado,374114,325078,15.08,153.5,397.6,2356.0,910.0,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W,https://en.wikipedia.org/wiki/Aurora,-,-,-,-
54,55,Anaheim,California,352005,336265,4.68,50.0,129.5,7021.0,2711.0,33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W,https://en.wikipedia.org/wiki/Anaheim,78.4,55.7,67.05,13.4
55,56,Honolulu,Hawaii,347397,337256,3.01,60.5,156.7,5815.0,2245.0,21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W,https://en.wikipedia.org/wiki/Honolulu,84.5,70.7,77.6,17.13
56,57,Santa Ana,California,332725,324528,2.53,27.1,70.2,12333.0,4762.0,33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W,https://en.wikipedia.org/wiki/Santa_Ana,76.3,54.9,65.6,13.6
57,58,Riverside,California,330063,303871,8.62,81.2,210.3,3999.0,1544.0,33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W,https://en.wikipedia.org/wiki/Riverside,79.5,51.4,65.45,10.32
58,59,Corpus Christi,Texas,326554,305215,6.99,174.6,452.2,1866.0,720.0,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W,https://en.wikipedia.org/wiki/Corpus_Christi,81.5,62.8,72.15,31.7
59,60,Lexington,Kentucky,323780,295803,9.46,283.6,734.5,1123.0,434.0,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W,https://en.wikipedia.org/wiki/Lexington,65.2,45.9,55.55,45.21
60,61,Stockton,California,311178,291707,6.67,61.7,159.8,4977.0,1922.0,37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W,https://en.wikipedia.org/wiki/Stockton,75.7,48.3,62.0,17.85
61,62,Henderson,Nevada,310390,257729,20.43,104.7,271.2,2798.0,1080.0,36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W,https://en.wikipedia.org/wiki/Henderson,77.4,48.2,62.8,6.92
62,63,Saint Paul,Minnesota,307695,285068,7.94,52.0,134.7,5815.0,2245.0,44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W,https://en.wikipedia.org/wiki/Saint_Paul,56.6,37.5,47.05,32.04
63,64,St. Louis,Missouri,302838,319294,-5.15,62.0,160.6,5023.0,1939.0,38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W,https://en.wikipedia.org/wiki/St._Louis,-,-,-,-
64,65,Cincinnati,Ohio,302605,296943,1.91,77.4,200.5,3860.0,1490.0,39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W,https://en.wikipedia.org/wiki/Cincinnati,64.8,44.5,54.65,42.24
65,66,Pittsburgh,Pennsylvania,301048,305704,-1.52,55.4,143.5,5481.0,2116.0,40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W,https://en.wikipedia.org/wiki/Pittsburgh,61.4,42.6,52.0,34.8
66,67,Greensboro,North Carolina,294722,269666,9.29,128.3,332.3,2237.0,864.0,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W,https://en.wikipedia.org/wiki/Greensboro,69.3,48.8,59.05,42.36
67,68,Anchorage,Alaska,291538,291826,-0.1,1706.6,4420.1,175.0,68.0,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W,https://en.wikipedia.org/wiki/Anchorage,43.7,30.3,37.0,16.57
68,69,Plano,Texas,288061,259841,10.86,71.7,185.7,3990.0,1540.0,33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W,https://en.wikipedia.org/wiki/Plano,-,-,-,-
69,70,Lincoln,Nebraska,287401,258379,11.23,92.1,238.5,3044.0,1175.0,40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W,https://en.wikipedia.org/wiki/Lincoln,63.1,39.9,51.5,28.94
70,71,Orlando,Florida,285713,238300,19.9,105.2,272.5,2635.0,1017.0,28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W,https://en.wikipedia.org/wiki/Orlando,82.4,64.3,73.35,53.19
71,72,Irvine,California,282572,212375,33.05,65.6,169.9,4057.0,1566.0,33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W,https://en.wikipedia.org/wiki/Irvine,72.7,54.3,63.5,14.42
72,73,Newark,New Jersey,282090,277140,1.79,24.1,62.4,11691.0,4514.0,40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W,https://en.wikipedia.org/wiki/Newark,63.3,46.5,54.9,46.24
73,74,Toledo,Ohio,274975,287208,-4.26,80.7,209.0,3451.0,1332.0,41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W,https://en.wikipedia.org/wiki/Toledo,61.5,45.3,53.4,33.55
74,75,Durham,North Carolina,274291,228330,20.13,109.8,284.4,2395.0,925.0,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W,https://en.wikipedia.org/wiki/Durham,70.2,47.8,59.0,48.1
75,76,Chula Vista,California,271651,243916,11.37,49.6,128.5,5387.0,2080.0,32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W,https://en.wikipedia.org/wiki/Chula_Vista,71.9,55.2,63.55,9.81
76,77,Fort Wayne,Indiana,267633,253691,5.5,110.6,286.5,2391.0,923.0,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W,https://en.wikipedia.org/wiki/Fort_Wayne,60.1,40.6,50.35,38.26
77,78,Jersey City,New Jersey,265549,247597,7.25,14.8,38.3,17848.0,6891.0,40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W,https://en.wikipedia.org/wiki/Jersey_City,60.2,45.1,52.65,46.42
78,79,St. Petersburg,Florida,265098,244769,8.31,61.8,160.1,4223.0,1631.0,27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W,https://en.wikipedia.org/wiki/St._Petersburg,-,-,-,-
79,80,Laredo,Texas,261639,236091,10.82,101.1,261.8,2544.0,982.0,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W,https://en.wikipedia.org/wiki/Laredo,85.1,63.2,74.15,20.15
80,81,Madison,Wisconsin,258054,233209,10.65,77.0,199.4,3280.0,1270.0,43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W,https://en.wikipedia.org/wiki/Madison,55.8,36.8,46.3,34.44
81,82,Chandler,Arizona,257165,236123,8.91,64.9,168.1,3813.0,1472.0,33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W,https://en.wikipedia.org/wiki/Chandler,-,-,-,-
82,83,Buffalo,New York,256304,261310,-1.92,40.4,104.6,6359.0,2455.0,42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W,https://en.wikipedia.org/wiki/Buffalo,56.3,40.2,48.25,40.47
83,84,Lubbock,Texas,255885,229573,11.46,124.6,322.7,2027.0,783.0,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W,https://en.wikipedia.org/wiki/Lubbock,74.3,47.0,60.65,19.18
84,85,Scottsdale,Arizona,255310,217385,17.45,183.9,476.3,1341.0,518.0,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W,https://en.wikipedia.org/wiki/Scottsdale,84.7,60.4,72.55,10.32
85,86,Reno,Nevada,250998,225221,11.45,107.3,277.9,2286.0,883.0,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W,https://en.wikipedia.org/wiki/Reno,67.6,40.1,53.85,7.39
86,87,Glendale,Arizona,250702,226721,10.58,59.1,153.1,4161.0,1607.0,33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W,https://en.wikipedia.org/wiki/Glendale,-,-,-,-
87,88,Gilbert,Arizona,248279,208453,19.11,68.0,176.1,3487.0,1346.0,33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W,https://en.wikipedia.org/wiki/Gilbert,-,-,-,-
88,89,Winston–Salem,North Carolina,246328,229617,7.28,132.5,343.2,1828.0,706.0,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W,https://en.wikipedia.org/wiki/Winston–Salem,-,-,-,-
89,90,North Las Vegas,Nevada,245949,216961,13.36,98.0,253.8,2436.0,941.0,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W,https://en.wikipedia.org/wiki/North_Las_Vegas,81.6,55.8,68.7,4.76
90,91,Norfolk,Virginia,244076,242803,0.52,53.3,138.0,4599.0,1776.0,36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W,https://en.wikipedia.org/wiki/Norfolk,68.1,52.0,60.05,46.55
91,92,Chesapeake,Virginia,242634,222209,9.19,338.5,876.7,703.0,271.0,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W,https://en.wikipedia.org/wiki/Chesapeake,-,-,-,-
92,93,Garland,Texas,242507,226876,6.89,57.0,147.6,4122.0,1592.0,32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W,https://en.wikipedia.org/wiki/Garland,-,-,-,-
93,94,Irving,Texas,242242,216290,12.0,67.0,173.5,3557.0,1373.0,32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W,https://en.wikipedia.org/wiki/Irving,76.4,55.7,66.05,36.19
94,95,Hialeah,Florida,238942,224669,6.35,21.5,55.7,10995.0,4245.0,25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W,https://en.wikipedia.org/wiki/Hialeah,82.4,69.5,75.95,70.44
95,96,Fremont,California,237807,214089,11.08,77.5,200.7,3008.0,1161.0,37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W,https://en.wikipedia.org/wiki/Fremont,69.3,49.8,59.55,16.69
96,97,Boise,Idaho,228790,205671,11.24,82.1,212.6,2718.0,1049.0,43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W,https://en.wikipedia.org/wiki/Boise,63.7,41.3,52.5,11.58
97,98,Richmond,Virginia,228783,204214,12.03,59.8,154.9,3732.0,1441.0,37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W,https://en.wikipedia.org/wiki/Richmond,69.5,48.0,58.75,43.64
98,99,Baton Rouge,Louisiana,221599,229493,-3.44,85.9,222.5,2651.0,1024.0,30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W,https://en.wikipedia.org/wiki/Baton_Rouge,78.9,57.8,68.35,60.6
99,100,Spokane,Washington,219190,208916,4.92,68.7,177.9,3144.0,1214.0,47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W,https://en.wikipedia.org/wiki/Spokane,57.6,38.5,48.05,16.52
100,101,Des Moines,Iowa,216853,203433,6.6,88.9,230.2,2424.0,936.0,41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W,https://en.wikipedia.org/wiki/Des_Moines,60.3,41.4,50.85,35.67
101,102,Tacoma,Washington,216279,198397,9.01,49.7,128.7,4251.0,1641.0,47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W,https://en.wikipedia.org/wiki/Tacoma,61.5,45.3,53.4,39.25
102,103,San Bernardino,California,215941,209924,2.87,61.5,159.3,3516.0,1358.0,34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W,https://en.wikipedia.org/wiki/San_Bernardino,80.1,51.7,65.9,16.37
103,104,Modesto,California,215030,201165,6.89,43.0,111.4,4934.0,1905.0,37°38′15″N 121°00′11″W﻿ / ﻿37.6375°N 121.0030°W,https://en.wikipedia.org/wiki/Modesto,76.0,51.2,63.6,13.2
104,105,Fontana,California,213739,196069,9.01,43.0,111.4,4876.0,1883.0,34°06′32″N 117°27′46″W﻿ / ﻿34.1090°N 117.4629°W,https://en.wikipedia.org/wiki/Fontana,-,-,-,-
105,106,Santa Clarita,California,210089,176320,19.15,52.8,136.8,3446.0,1331.0,34°24′11″N 118°30′15″W﻿ / ﻿34.4030°N 118.5042°W,https://en.wikipedia.org/wiki/Santa_Clarita,-,-,-,-
106,107,Birmingham,Alabama,209880,212237,-1.11,146.1,378.4,1452.0,561.0,33°31′39″N 86°47′56″W﻿ / ﻿33.5274°N 86.7990°W,https://en.wikipedia.org/wiki/Birmingham,73.8,52.8,63.3,53.71
107,108,Oxnard,California,209877,197899,6.05,26.9,69.7,7729.0,2984.0,34°12′08″N 119°12′17″W﻿ / ﻿34.2023°N 119.2046°W,https://en.wikipedia.org/wiki/Oxnard,69.3,52.3,60.8,15.64
108,109,Fayetteville,North Carolina,209468,200564,4.44,147.7,382.5,1386.0,535.0,35°04′58″N 78°58′25″W﻿ / ﻿35.0828°N 78.9735°W,https://en.wikipedia.org/wiki/Fayetteville,72.5,49.8,61.15,45.34
109,110,Moreno Valley,California,209050,193365,8.11,51.3,132.9,4006.0,1547.0,33°55′24″N 117°12′21″W﻿ / ﻿33.9233°N 117.2057°W,https://en.wikipedia.org/wiki/Moreno_Valley,-,-,-,-
110,111,Rochester,New York,206284,210565,-2.03,35.8,92.7,5835.0,2253.0,43°10′12″N 77°37′01″W﻿ / ﻿43.1699°N 77.6169°W,https://en.wikipedia.org/wiki/Rochester,57.3,39.5,48.4,34.34
111,112,Glendale,California,201361,191719,5.03,30.4,78.7,6606.0,2551.0,34°10′53″N 118°14′45″W﻿ / ﻿34.1814°N 118.2458°W,https://en.wikipedia.org/wiki/Glendale,-,-,-,-
112,113,Huntington Beach,California,200641,189992,5.6,26.9,69.7,7459.0,2880.0,33°41′26″N 118°00′33″W﻿ / ﻿33.6906°N 118.0093°W,https://en.wikipedia.org/wiki/Huntington_Beach,-,-,-,-
113,114,Salt Lake City,Utah,200591,186440,7.59,111.2,288.0,1742.0,673.0,40°46′37″N 111°55′52″W﻿ / ﻿40.7769°N 111.9310°W,https://en.wikipedia.org/wiki/Salt_Lake_City,63.4,46.2,54.8,18.58
114,115,Grand Rapids,Michigan,200217,188040,6.48,44.4,115.0,4424.0,1708.0,42°57′40″N 85°39′20″W﻿ / ﻿42.9612°N 85.6556°W,https://en.wikipedia.org/wiki/Grand_Rapids,57.8,40.3,49.05,38.27
115,116,Amarillo,Texas,199924,190695,4.84,101.4,262.6,1968.0,760.0,35°12′00″N 101°49′49″W﻿ / ﻿35.1999°N 101.8302°W,https://en.wikipedia.org/wiki/Amarillo,70.9,43.7,57.3,20.31
116,117,Yonkers,New York,199663,195976,1.88,18.0,46.6,11156.0,4307.0,40°56′45″N 73°52′03″W﻿ / ﻿40.9459°N 73.8674°W,https://en.wikipedia.org/wiki/Yonkers,-,-,-,-
117,118,Aurora,Illinois,199602,197899,0.86,44.9,116.3,4479.0,1729.0,41°45′49″N 88°17′24″W﻿ / ﻿41.7635°N 88.2901°W,https://en.wikipedia.org/wiki/Aurora,59.0,41.3,50.15,37.67
118,119,Montgomery,Alabama,198218,205764,-3.67,159.8,413.9,1252.0,483.0,32°20′50″N 86°15′58″W﻿ / ﻿32.3472°N 86.2661°W,https://en.wikipedia.org/wiki/Montgomery,76.5,53.5,65.0,53.05
119,120,Akron,Ohio,198006,199110,-0.55,62.0,160.6,3188.0,1231.0,41°04′50″N 81°31′17″W﻿ / ﻿41.0805°N 81.5214°W,https://en.wikipedia.org/wiki/Akron,60.2,42.9,51.55,36.06
120,121,Little Rock,Arkansas,197881,193524,2.25,118.7,307.4,1673.0,646.0,34°43′31″N 92°21′31″W﻿ / ﻿34.7254°N 92.3586°W,https://en.wikipedia.org/wiki/Little_Rock,72.8,52.5,62.65,49.57
121,122,Huntsville,Alabama,197318,180105,9.56,213.4,552.7,905.0,349.0,34°41′56″N 86°40′23″W﻿ / ﻿34.6990°N 86.6730°W,https://en.wikipedia.org/wiki/Huntsville,72.8,51.1,61.95,54.33
122,123,Augusta,Georgia,196939,195844,0.56,302.5,783.5,652.0,252.0,33°21′56″N 82°04′24″W﻿ / ﻿33.3655°N 82.0734°W,https://en.wikipedia.org/wiki/Augusta,76.8,50.9,63.85,43.58
123,124,Port St. Lucie,Florida,195248,164603,18.62,118.9,307.9,1557.0,601.0,27°16′50″N 80°23′18″W﻿ / ﻿27.2806°N 80.3883°W,https://en.wikipedia.org/wiki/Port_St._Lucie,-,-,-,-
124,125,Grand Prairie,Texas,194614,175396,10.96,72.3,187.3,2637.0,1018.0,32°41′13″N 97°01′16″W﻿ / ﻿32.6869°N 97.0211°W,https://en.wikipedia.org/wiki/Grand_Prairie,76.7,56.7,66.7,37.36
125,126,Columbus,Georgia,194160,189885,2.25,216.4,560.5,913.0,353.0,32°30′37″N 84°52′30″W﻿ / ﻿32.5102°N 84.8749°W,https://en.wikipedia.org/wiki/Columbus,76.1,55.1,65.6,46.76
126,127,Tallahassee,Florida,193551,181376,6.71,100.4,260.0,1901.0,734.0,30°27′18″N 84°15′12″W﻿ / ﻿30.4551°N 84.2534°W,https://en.wikipedia.org/wiki/Tallahassee,79.5,55.7,67.6,59.21
127,128,Overland Park,Kansas,192536,173372,11.05,75.1,194.5,2516.0,971.0,38°53′20″N 94°41′26″W﻿ / ﻿38.8890°N 94.6906°W,https://en.wikipedia.org/wiki/Overland_Park,-,-,-,-
128,129,Tempe,Arizona,192364,161719,18.95,40.0,103.6,4562.0,1761.0,33°23′18″N 111°55′54″W﻿ / ﻿33.3884°N 111.9318°W,https://en.wikipedia.org/wiki/Tempe,87.3,55.3,71.3,9.33
129,130,McKinney,Texas,191645,131117,46.16,63.0,163.2,2735.0,1056.0,33°11′55″N 96°40′05″W﻿ / ﻿33.1985°N 96.6680°W,https://en.wikipedia.org/wiki/McKinney,-,-,-,-
130,131,Mobile,Alabama,189572,195111,-2.84,139.4,361.0,1384.0,534.0,30°40′06″N 88°06′01″W﻿ / ﻿30.6684°N 88.1002°W,https://en.wikipedia.org/wiki/Mobile,77.5,57.0,67.25,66.22
131,132,Cape Coral,Florida,189343,154305,22.71,105.6,273.5,1703.0,658.0,26°38′36″N 81°59′51″W﻿ / ﻿26.6432°N 81.9974°W,https://en.wikipedia.org/wiki/Cape_Coral,-,-,-,-
132,133,Shreveport,Louisiana,188987,199311,-5.18,107.1,277.4,1820.0,700.0,32°28′01″N 93°47′32″W﻿ / ﻿32.4669°N 93.7922°W,https://en.wikipedia.org/wiki/Shreveport,76.4,54.8,65.6,51.36
133,134,Frisco,Texas,188170,116989,60.84,67.7,175.3,2417.0,933.0,33°09′19″N 96°49′21″W﻿ / ﻿33.1554°N 96.8226°W,https://en.wikipedia.org/wiki/Frisco,-,-,-,-
134,135,Knoxville,Tennessee,187500,178874,4.82,98.5,255.1,1891.0,730.0,35°58′15″N 83°56′57″W﻿ / ﻿35.9707°N 83.9493°W,https://en.wikipedia.org/wiki/Knoxville,69.3,49.7,59.5,48.18
135,136,Worcester,Massachusetts,185877,181045,2.67,37.4,96.9,4933.0,1905.0,42°16′10″N 71°48′28″W﻿ / ﻿42.2695°N 71.8078°W,https://en.wikipedia.org/wiki/Worcester,56.0,39.6,47.8,48.02
136,137,Brownsville,Texas,183392,175023,4.78,132.5,343.2,1387.0,536.0,25°59′57″N 97°27′18″W﻿ / ﻿25.9991°N 97.4550°W,https://en.wikipedia.org/wiki/Brownsville,83.7,65.5,74.6,27.37
137,138,Vancouver,Washington,183012,161791,13.12,46.9,121.5,3728.0,1439.0,45°38′06″N 122°35′45″W﻿ / ﻿45.6349°N 122.5957°W,https://en.wikipedia.org/wiki/Vancouver,62.1,41.8,51.95,41.67
138,139,Fort Lauderdale,Florida,182595,165521,10.32,34.6,89.6,5166.0,1995.0,26°08′28″N 80°08′48″W﻿ / ﻿26.1412°N 80.1467°W,https://en.wikipedia.org/wiki/Fort_Lauderdale,83.3,67.8,75.55,66.49
139,140,Sioux Falls,South Dakota,181883,153888,18.19,75.4,195.3,2312.0,893.0,43°32′18″N 96°43′55″W﻿ / ﻿43.5383°N 96.7320°W,https://en.wikipedia.org/wiki/Sioux_Falls,56.4,34.8,45.6,26.35
140,141,Ontario,California,181107,163924,10.48,49.9,129.2,3471.0,1340.0,34°02′22″N 117°36′15″W﻿ / ﻿34.0394°N 117.6042°W,https://en.wikipedia.org/wiki/Ontario,77.8,53.2,65.5,15.04
141,142,Chattanooga,Tennessee,180557,167674,7.68,143.1,370.6,1241.0,479.0,35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W,https://en.wikipedia.org/wiki/Chattanooga,71.6,50.1,60.85,52.44
142,143,Providence,Rhode Island,179335,178042,0.73,18.4,47.7,9740.0,3760.0,41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W,https://en.wikipedia.org/wiki/Providence,60.5,42.5,51.5,47.21
143,144,Newport News,Virginia,178626,180719,-1.16,69.1,179.0,2631.0,1016.0,37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W,https://en.wikipedia.org/wiki/Newport_News,70.5,50.7,60.6,45.47
144,145,Rancho Cucamonga,California,177751,165269,7.55,40.0,103.6,4413.0,1704.0,34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W,https://en.wikipedia.org/wiki/Rancho_Cucamonga,-,-,-,-
145,146,Santa Rosa,California,177586,167815,5.82,41.3,107.0,4241.0,1637.0,38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W,https://en.wikipedia.org/wiki/Santa_Rosa,71.3,46.9,59.1,30.98
146,147,Oceanside,California,176080,167086,5.38,41.3,107.0,4249.0,1641.0,33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W,https://en.wikipedia.org/wiki/Oceanside,66.0,53.9,59.95,10.28
147,148,Salem,Oregon,173442,154637,12.16,48.6,125.9,3445.0,1330.0,44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W,https://en.wikipedia.org/wiki/Salem,63.6,42.4,53.0,39.61
148,149,Elk Grove,California,172886,153015,12.99,42.2,109.3,4022.0,1553.0,38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W,https://en.wikipedia.org/wiki/Elk_Grove,-,-,-,-
149,150,Garden Grove,California,172646,170883,1.03,18.0,46.6,9714.0,3751.0,33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W,https://en.wikipedia.org/wiki/Garden_Grove,-,-,-,-
150,151,Pembroke Pines,Florida,172374,154019,11.92,33.0,85.5,5109.0,1973.0,26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W,https://en.wikipedia.org/wiki/Pembroke_Pines,-,-,-,-
151,152,Peoria,Arizona,172259,154065,11.81,175.7,455.1,934.0,361.0,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W,https://en.wikipedia.org/wiki/Peoria,-,-,-,-
152,153,Eugene,Oregon,171245,156185,9.64,44.1,114.2,3777.0,1458.0,44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W,https://en.wikipedia.org/wiki/Eugene,63.3,41.7,52.5,46.15
153,154,Corona,California,168819,152374,10.79,39.5,102.3,4222.0,1630.0,33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W,https://en.wikipedia.org/wiki/Corona,79.4,50.2,64.8,12.01
154,155,Cary,North Carolina,168160,135234,24.35,56.5,146.3,2873.0,1109.0,35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W,https://en.wikipedia.org/wiki/Cary,71.6,50.0,60.8,43.29
155,156,Springfield,Missouri,168122,159498,5.41,82.3,213.2,2033.0,785.0,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W,https://en.wikipedia.org/wiki/Springfield,67.0,45.3,56.15,45.54
156,157,Fort Collins,Colorado,167830,143986,16.56,55.8,144.5,2943.0,1136.0,40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W,https://en.wikipedia.org/wiki/Fort_Collins,63.7,36.8,50.25,16.05
157,158,Jackson,Mississippi,164422,173514,-5.24,111.0,287.5,1524.0,588.0,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W,https://en.wikipedia.org/wiki/Jackson,75.5,53.6,64.55,54.16
158,159,Alexandria,Virginia,160530,139966,14.69,15.0,38.8,10387.0,4010.0,38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W,https://en.wikipedia.org/wiki/Alexandria,-,-,-,-
159,160,Hayward,California,159620,144186,10.7,45.5,117.8,3493.0,1349.0,37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W,https://en.wikipedia.org/wiki/Hayward,67.1,50.6,58.85,17.99
160,161,Lancaster,California,159053,156633,1.55,94.3,244.2,1698.0,656.0,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W,https://en.wikipedia.org/wiki/Lancaster,77.1,47.1,62.1,7.36
161,162,Lakewood,Colorado,156798,142980,9.66,42.9,111.1,3599.0,1390.0,39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W,https://en.wikipedia.org/wiki/Lakewood,-,-,-,-
162,163,Clarksville,Tennessee,156794,132929,17.95,98.3,254.6,1529.0,590.0,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W,https://en.wikipedia.org/wiki/Clarksville,70.2,48.0,59.1,50.98
163,164,Palmdale,California,156667,152750,2.56,106.0,274.5,1484.0,573.0,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W,https://en.wikipedia.org/wiki/Palmdale,78.3,48.6,63.45,7.4
164,165,Salinas,California,156259,150441,3.87,23.6,61.1,6662.0,2572.0,36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W,https://en.wikipedia.org/wiki/Salinas,68.0,46.6,57.3,15.47
165,166,Springfield,Massachusetts,155032,153060,1.29,31.9,82.6,4830.0,1860.0,42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W,https://en.wikipedia.org/wiki/Springfield,-,-,-,-
166,167,Hollywood,Florida,154823,140768,9.98,27.3,70.7,5568.0,2150.0,26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W,https://en.wikipedia.org/wiki/Hollywood,82.9,68.6,75.75,64.37
167,168,Pasadena,Texas,153219,149043,2.8,43.5,112.7,3525.0,1361.0,29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W,https://en.wikipedia.org/wiki/Pasadena,-,-,-,-
