,2018rank,city,state,2018estimate,2010census,change(%),2016 land area(sq mi),2016 land area(sq km),2016 population density (/sq mi),2016 population density (/sq km),location,wiki_city_url,Annual high temperature(F),Annual low temperature(F),Average temperature(F),Average annual precipitation - rainfall(in)
277,278,Broken Arrow,Oklahoma,109171,98850,10.44,61.7,159.8,1741.0,672.0,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W,https://en.wikipedia.org/wiki/Broken_Arrow,-,-,-,-
278,279,Sandy Springs,Georgia,108797,93853,15.92,37.7,97.6,2804.0,1083.0,33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W,https://en.wikipedia.org/wiki/Sandy_Springs,-,-,-,-
279,280,Jurupa Valley,California,108393,0,0.0,42.9,111.1,2414.0,932.0,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W,https://en.wikipedia.org/wiki/Jurupa_Valley,-,-,-,-
280,281,Hillsboro,Oregon,108389,91611,18.31,25.0,64.7,4207.0,1624.0,45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W,https://en.wikipedia.org/wiki/Hillsboro,63.0,43.8,53.4,38.17
281,282,Waterbury,Connecticut,108093,110366,-2.06,28.5,73.8,3799.0,1467.0,41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W,https://en.wikipedia.org/wiki/Waterbury,-,-,-,-
282,283,Santa Maria,California,107408,99553,7.89,22.8,59.1,4662.0,1800.0,34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W,https://en.wikipedia.org/wiki/Santa_Maria,68.6,46.6,57.6,14.02
283,284,Boulder,Colorado,107353,97385,10.24,24.8,64.2,4358.0,1683.0,40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W,https://en.wikipedia.org/wiki/Boulder,65.3,37.8,51.55,20.66
284,285,Greeley,Colorado,107348,92889,15.57,47.8,123.8,2176.0,840.0,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W,https://en.wikipedia.org/wiki/Greeley,68.8,36.7,52.75,14.67
285,286,Daly City,California,107008,101123,5.82,7.6,19.7,14009.0,5409.0,37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W,https://en.wikipedia.org/wiki/Daly_City,-,-,-,-
286,287,Meridian,Idaho,106804,75092,42.23,29.8,77.2,3584.0,1384.0,43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W,https://en.wikipedia.org/wiki/Meridian,-,-,-,-
287,288,Lewisville,Texas,106586,95290,11.85,36.7,95.1,2852.0,1101.0,33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W,https://en.wikipedia.org/wiki/Lewisville,-,-,-,-
288,289,Davie,Florida,106558,91992,15.83,34.9,90.4,2919.0,1127.0,26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W,https://en.wikipedia.org/wiki/Davie,-,-,-,-
289,290,West Covina,California,106311,106098,0.2,16.0,41.4,6740.0,2600.0,34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W,https://en.wikipedia.org/wiki/West_Covina,-,-,-,-
290,291,League City,Texas,106244,83560,27.15,51.2,132.6,1992.0,769.0,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W,https://en.wikipedia.org/wiki/League_City,-,-,-,-
291,292,Tyler,Texas,105729,96900,9.11,56.6,146.6,1852.0,715.0,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W,https://en.wikipedia.org/wiki/Tyler,76.8,54.3,65.55,46.66
292,293,Norwalk,California,105120,105549,-0.41,9.7,25.1,10946.0,4226.0,33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W,https://en.wikipedia.org/wiki/Norwalk,-,-,-,-
293,294,San Mateo,California,105025,97207,8.04,12.1,31.3,8592.0,3317.0,37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W,https://en.wikipedia.org/wiki/San_Mateo,-,-,-,-
294,295,Green Bay,Wisconsin,104879,104057,0.79,45.4,117.6,2316.0,894.0,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W,https://en.wikipedia.org/wiki/Green_Bay,53.5,34.8,44.15,29.53
295,296,Wichita Falls,Texas,104576,104553,0.02,72.2,187.0,1450.0,560.0,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W,https://en.wikipedia.org/wiki/Wichita_Falls,-,-,-,-
296,297,Sparks,Nevada,104246,90264,15.49,35.9,93.0,2810.0,1080.0,39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W,https://en.wikipedia.org/wiki/Sparks,68.3,36.6,52.45,8.26
297,298,Lakewood,New Jersey,104157,92843,12.19,24.7,64.0,4079.0,1575.0,40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W,https://en.wikipedia.org/wiki/Lakewood,-,-,-,-
298,299,Burbank,California,103695,103340,0.34,17.4,45.1,6003.0,2318.0,34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W,https://en.wikipedia.org/wiki/Burbank,76.3,51.7,64.0,17.35
299,300,Rialto,California,103440,99171,4.3,22.3,57.8,4633.0,1789.0,34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W,https://en.wikipedia.org/wiki/Rialto,-,-,-,-
300,301,Allen,Texas,103383,84246,22.72,27.1,70.2,3715.0,1434.0,33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W,https://en.wikipedia.org/wiki/Allen,-,-,-,-
301,302,El Cajon,California,103241,99478,3.78,14.5,37.6,7156.0,2763.0,32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W,https://en.wikipedia.org/wiki/El_Cajon,78.0,52.7,65.35,12.37
302,303,Las Cruces,New Mexico,102926,97618,5.44,76.9,199.2,1323.0,511.0,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W,https://en.wikipedia.org/wiki/Las_Cruces,77.7,47.3,62.5,9.76
303,304,Renton,Washington,102153,90927,12.35,23.4,60.6,4314.0,1666.0,47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W,https://en.wikipedia.org/wiki/Renton,60.9,45.3,53.1,40.0
304,305,Davenport,Iowa,102085,99685,2.41,62.9,162.9,1631.0,630.0,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W,https://en.wikipedia.org/wiki/Davenport,59.3,39.3,49.3,35.97
305,306,South Bend,Indiana,101860,101168,0.68,41.4,107.2,2457.0,949.0,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W,https://en.wikipedia.org/wiki/South_Bend,58.8,40.8,49.8,38.0
306,307,Vista,California,101224,93834,7.88,18.7,48.4,5436.0,2099.0,33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W,https://en.wikipedia.org/wiki/Vista,73.0,53.3,63.15,13.23
307,308,Tuscaloosa,Alabama,101113,90468,11.77,71.7,185.7,1399.0,540.0,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W,https://en.wikipedia.org/wiki/Tuscaloosa,76.3,53.6,64.95,54.91
308,309,Clinton,Michigan,100800,96796,4.14,28.1,72.8,3573.0,1380.0,42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W,https://en.wikipedia.org/wiki/Clinton,-,-,-,-
309,310,Edison,New Jersey,100693,99967,0.73,30.1,78.0,3389.0,1309.0,40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W,https://en.wikipedia.org/wiki/Edison,-,-,-,-
310,311,Woodbridge,New Jersey,100450,99585,0.87,23.3,60.3,4351.0,1680.0,40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W,https://en.wikipedia.org/wiki/Woodbridge,-,-,-,-
311,312,San Angelo,Texas,100215,93200,7.53,59.9,155.1,1681.0,649.0,31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W,https://en.wikipedia.org/wiki/San_Angelo,78.3,52.8,65.55,21.22
312,313,Kenosha,Wisconsin,100164,99218,0.95,28.0,72.5,3577.0,1381.0,42°34′56″N 87°50′44″W﻿ / ﻿42.5822°N 87.8456°W,https://en.wikipedia.org/wiki/Kenosha,55.4,40.4,47.9,36.14
313,314,Vacaville,California,100154,92428,8.36,29.0,75.1,3449.0,1332.0,38°21′14″N 121°58′22″W﻿ / ﻿38.3539°N 121.9728°W,https://en.wikipedia.org/wiki/Vacaville,76.2,48.8,62.5,24.53
